timestamp, name, pci.bus_id, driver_version, pstate, pcie.link.gen.max, pcie.link.gen.current, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2018/06/05 22:58:37.524, GeForce GTX 1070, 00000000:01:00.0, 390.59, P8, 3, 1, 37, 0 %, 0 %, 8118 MiB, 8088 MiB, 30 MiB
2018/06/05 22:58:37.526, GeForce GTX 1070, 00000000:02:00.0, 390.59, P8, 2, 1, 52, 0 %, 0 %, 8119 MiB, 8101 MiB, 18 MiB
2018/06/05 22:58:38.528, GeForce GTX 1070, 00000000:01:00.0, 390.59, P8, 3, 1, 37, 0 %, 0 %, 8118 MiB, 8088 MiB, 30 MiB
2018/06/05 22:58:38.528, GeForce GTX 1070, 00000000:02:00.0, 390.59, P8, 2, 1, 52, 0 %, 0 %, 8119 MiB, 8101 MiB, 18 MiB
2018/06/05 22:58:39.529, GeForce GTX 1070, 00000000:01:00.0, 390.59, P8, 3, 1, 37, 0 %, 0 %, 8118 MiB, 8088 MiB, 30 MiB
2018/06/05 22:58:39.530, GeForce GTX 1070, 00000000:02:00.0, 390.59, P8, 2, 1, 52, 0 %, 0 %, 8119 MiB, 8101 MiB, 18 MiB
2018/06/05 22:58:40.531, GeForce GTX 1070, 00000000:01:00.0, 390.59, P8, 3, 1, 37, 0 %, 0 %, 8118 MiB, 8088 MiB, 30 MiB
2018/06/05 22:58:40.532, GeForce GTX 1070, 00000000:02:00.0, 390.59, P8, 2, 1, 52, 0 %, 0 %, 8119 MiB, 8101 MiB, 18 MiB
2018/06/05 22:58:41.532, GeForce GTX 1070, 00000000:01:00.0, 390.59, P8, 3, 1, 37, 0 %, 0 %, 8118 MiB, 8088 MiB, 30 MiB
2018/06/05 22:58:41.533, GeForce GTX 1070, 00000000:02:00.0, 390.59, P8, 2, 1, 52, 0 %, 0 %, 8119 MiB, 8101 MiB, 18 MiB
timestamp, name, pci.bus_id, driver_version, pstate, pcie.link.gen.max, pcie.link.gen.current, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2018/06/05 23:08:09.951, GeForce GTX 1070, 00000000:01:00.0, 390.59, P8, 3, 1, 37, 0 %, 0 %, 8118 MiB, 8088 MiB, 30 MiB
2018/06/05 23:08:09.953, GeForce GTX 1070, 00000000:02:00.0, 390.59, P8, 2, 1, 52, 0 %, 0 %, 8119 MiB, 8101 MiB, 18 MiB
2018/06/05 23:08:10.954, GeForce GTX 1070, 00000000:01:00.0, 390.59, P8, 3, 1, 37, 0 %, 0 %, 8118 MiB, 8088 MiB, 30 MiB
2018/06/05 23:08:10.955, GeForce GTX 1070, 00000000:02:00.0, 390.59, P8, 2, 1, 52, 0 %, 0 %, 8119 MiB, 8101 MiB, 18 MiB
2018/06/05 23:08:11.956, GeForce GTX 1070, 00000000:01:00.0, 390.59, P8, 3, 1, 37, 0 %, 0 %, 8118 MiB, 8088 MiB, 30 MiB
2018/06/05 23:08:11.957, GeForce GTX 1070, 00000000:02:00.0, 390.59, P8, 2, 1, 52, 0 %, 0 %, 8119 MiB, 8101 MiB, 18 MiB
2018/06/05 23:08:12.958, GeForce GTX 1070, 00000000:01:00.0, 390.59, P8, 3, 1, 37, 0 %, 0 %, 8118 MiB, 8088 MiB, 30 MiB
2018/06/05 23:08:12.959, GeForce GTX 1070, 00000000:02:00.0, 390.59, P8, 2, 1, 52, 0 %, 0 %, 8119 MiB, 8101 MiB, 18 MiB
2018/06/05 23:08:13.960, GeForce GTX 1070, 00000000:01:00.0, 390.59, P8, 3, 1, 37, 0 %, 0 %, 8118 MiB, 8088 MiB, 30 MiB
2018/06/05 23:08:13.961, GeForce GTX 1070, 00000000:02:00.0, 390.59, P8, 2, 1, 52, 0 %, 0 %, 8119 MiB, 8101 MiB, 18 MiB
2018/06/05 23:08:14.962, GeForce GTX 1070, 00000000:01:00.0, 390.59, P8, 3, 1, 37, 0 %, 0 %, 8118 MiB, 8088 MiB, 30 MiB
2018/06/05 23:08:14.963, GeForce GTX 1070, 00000000:02:00.0, 390.59, P8, 2, 1, 52, 0 %, 0 %, 8119 MiB, 8101 MiB, 18 MiB
2018/06/05 23:08:15.964, GeForce GTX 1070, 00000000:01:00.0, 390.59, P8, 3, 1, 37, 0 %, 0 %, 8118 MiB, 8088 MiB, 30 MiB
2018/06/05 23:08:15.965, GeForce GTX 1070, 00000000:02:00.0, 390.59, P8, 2, 1, 52, 0 %, 0 %, 8119 MiB, 8101 MiB, 18 MiB
2018/06/05 23:08:16.966, GeForce GTX 1070, 00000000:01:00.0, 390.59, P8, 3, 1, 37, 0 %, 0 %, 8118 MiB, 8088 MiB, 30 MiB
2018/06/05 23:08:16.967, GeForce GTX 1070, 00000000:02:00.0, 390.59, P8, 2, 1, 52, 0 %, 0 %, 8119 MiB, 8101 MiB, 18 MiB
2018/06/05 23:08:17.967, GeForce GTX 1070, 00000000:01:00.0, 390.59, P8, 3, 1, 37, 0 %, 0 %, 8118 MiB, 8088 MiB, 30 MiB
